latitude,longitude,depth,magType,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst,significant
0.5244262748295369,0.48301164329462765,-0.46409394996364184,-0.7534170670152287,0.8620203997801789,-0.06928839416071614,-0.46858067693092004,0.06699352797366287,-0.4679376002540992,-0.5212038929066866,-0.19636730071252229,-0.1730179197819298,0
-0.7881114271794849,1.4531522301573154,-0.02195853012037186,-0.7534170670152287,-0.5664205738156535,-0.7311012097544144,0.16380876547412612,0.17948962880165933,1.4076754367359723,0.24259799361699022,0.5714237391592129,-0.47547791565469205,0
-1.6805210033076583,0.7439634347158072,-0.46409394996364184,-0.7534170670152287,-0.3040538643796843,-0.4635598587697279,2.17670413852454,0.29198572962965624,0.11711600761436337,-0.5325412491112711,0.29128376515195814,-0.38906077397676,0
-0.5996184233023286,1.0626490070839083,-0.46409394996364184,-0.7534170670152287,-0.012535298339718521,-0.5339654774499085,-0.2784418069981067,0.6294740321136465,0.038453337648855945,-0.5340109063970506,-0.03035842722674171,-0.25943506145986184,0
-0.009934167020368404,-0.2533414546294484,-0.39043105285722307,0.12407776994637004,-0.5372687172116569,-0.0974506416327884,-0.6038458244008803,-1.1329648808583033,-1.4954687266785418,-0.8602748238400946,0.3772387914610159,-0.38906077397676,0
-2.3018423825478145,0.5122967436992522,-0.46409394996364184,-0.7534170670152287,-0.24575015117169116,-1.2521027879877513,3.0247768083884203,-0.3829908753383245,0.9258665831972381,-0.5424089480300762,-0.22749396449110618,-0.08660077810399772,0
1.0981870755769394,1.5672134861199538,-0.46409394996364184,-0.7534170670152287,1.0952352526121516,-0.8719124471147758,-0.3461898856540741,0.1419909285256608,0.31623089096455453,-0.5369502209686094,-0.6425161482055575,0.75596635325584,0
-1.3689953411688465,-0.25318270827599504,1.4737319152388613,-0.7534170670152287,-0.4498131473996672,-0.15377513657693292,-0.28621617667993904,-0.4579882758903222,0.7562502010841126,0.9501330011993957,0.509170411602045,-0.453873630235209,0
-0.014318200619692474,-0.25150319853649183,-0.4022838432140366,0.12407776994637004,-0.8579391398556193,1.2543372370266805,-0.6058871517544814,-1.5079518836182924,-1.4905523098056974,-0.7972895115924027,-0.25820289295066345,-0.5186864864936581,0
1.195832144911885,-0.9836621911221993,-0.4079029438276371,0.5628251884271694,-0.3332057209836809,-0.23826187899314974,-0.3104277851176454,0.7044714326656445,-0.005794414206742213,-0.8413792301657869,-0.12373841856249336,-0.3026436322988279,0
